เมนู / เลือกเนื้อสัตว์,ไก่,หมูชิ้น / หมูสับ,หมูกรอบ,กุ้ง / ปลาหมึก,ปลากะพง,ปู,เนื้อสับ / ชิ้น,ทะเล
ผัดไข่เค็ม,,,,99,,,,
ผัดหนำเลี้ยบ,,69,,,,,,
ข้าวผัด / ข้าวผัดต้มยำ,69,69,89,89,,89,89/120,
ผัดกระเพราคลุกข้าว,69,69,89,89,,,89/120,
ข้าวผัดกิมจิ,89,89,109,109,,,109/140,
เส้นใหญ่ราดหน้า,69,69,89,89,125,,89/120,135
เส้นใหญ่ผัดขี้เมา,69,69,89,89,,,89/120,
ผัดซีอิ๊ว,69,69,89,89,,,89/120,
มาม่าต้มยำ / ผัด,69,69,89,89,,,89/120,
ยากิโซบะ,89,89,109,109,,,109/140,
สุกี้น้ำ / แห้ง,69,69,89,89,125,,89/120,135
ไข่เจียว (ธรรมดา 39),,50,,55,,55,,
